.15
.15

1D1W	3.0978	5.97480748855
1A1D1W	7.0335	10.4707315759
1A1D2W	5.357	11.5732258149
1A1D3W	4.7945	12.6194098642
1A1D4W	5.1591	13.8256333998
1A1D5W	7.833	15.0422298651

2A1D1W	6.299	15.0748305012
2A1D2W	5.167	16.251417095
2A1D3W	4.9401	17.4843138783
2A1D4W	6.7582	18.4608511142
2A1D5W	5.4994	19.8478599954

2A2D1W	3.563	20.1249654023
2A2D2W	2.8569	21.2452418064
2A2D3W	4.0387	22.4455379536
2A2D4W	6.5025	23.4042930243
2A2D5W	4.0239	24.6786815264

3A1D1W	7.2971	19.9678896102
3A1D2W	7.1775	21.0170373537
3A1D3W	7.9256	22.1847328649
3A1D4W	6.3156	23.2531446206
3A1D5W	6.0604	24.4815958627

3A2D1W	3.8232	24.8891038139
3A2D2W	6.4056	25.8597136614
3A2D3W	8.7582	27.1089107628
3A2D4W	5.1595	28.2262234727
3A2D5W	6.2865	29.256107204

3A3D1W	4.6553	29.5524766231
3A3D2W	5.3559	30.9483765869
3A3D3W	8.4601	31.9115771989
3A3D4W	4.5512	33.1607743003

1M1W	3.4912	4.21733683344
1M2W	1.7889	5.40281450974

1A1M1W	7.3678	8.77994404009
1A1M2W	6.2571	9.98913126992
1A1M3W	5.0957	11.0575430257

1A2M1W	3.5747	12.398614647
1A2M2W	3.9324	13.5455642988

2A1M1W	7.4986	13.4907359563
2A1M2W	4.6309	14.6628770087
2A1M3W	2.9801	15.8290906728

2A2M1W	4.1995	16.8011823674
2A2M2W	7.2964	17.9629504901
2A2M3W	5.4317	19.1365733897
2A2M4W	3.5159	20.1383020261

1T1W	2.7389	7.77821540362
1A1T1W	8.9367	12.1111363105
1A1T2W	9.4851	13.2136305495
1A1T3W	10.3031	14.3309432594

1A2T1W	4.841	19.0980453652
1A2T2W	3.2077	20.167938968

2A1T1W	13.1609	16.7300537068
2A1T2W	5.6429	17.820693169
2A1T3W	5.037	18.939487726

2A2T1W	10.981	23.1775704188
2A2T2W	0.012	24.5882888535
2A2T3W	7.9447	25.7396840467

2A1D1M1W	4.3227	18.3823132181
2A1D1M2W	3.7111	19.5737182828





















